Abendmahl;Hein-Köllisch-Platz  6, 20359 Hamburg;Abseits vom Trubel auf dem Kiez bietet das Abendmahl ein Ambiente zum wohlfühlen. Entspannen Sie sich bei frischen, internationalen Speisen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/abendmahl/
Al Volo;Eppendorfer Weg 211, 20253 Hamburg ;Authentisch italienische Küche mit hervorragender Pizza und typisch süditalienischen Snacks. Dolce Vita im Eppendorfer Weg.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/al-volo/
Alsterperle;Eduard-Rhein-Ufer 1, 22087 Hamburg;Süßes Lokal am Ost-Zipfel des Alstersees;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/alsterperle/
Alt Hamburger Aalspeicher;Deichstraße 43, 20459 Hamburg;In einem historischen Gebäude aus dem 16. Jahrhundert - direkt am Nikolaufleet gelegen - serviert Familie Eismann seit 30 Jahren traditionellen Räucheraal, feinste Fischspezialitäten und typisch hamburgerische Gerichte.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/alt-hamburger-aalspeicher/
An Khang Quan;Hoheluftchaussee 86, 20253 Hamburg;Einer der meist besuchten Vietnamesen in Hamburg. Traditionelle Speisen werden in einem angenehmen Ambiente gereicht.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/an-khang-quan/
Anleger 1870;Hartwicusstraße 7, 22087 Hamburg;Mit fast sechzig Metern ist das Bauwerk auch heute noch Hamburgs breiteste Brücke und verbindet die Innenstadt mit Barmbek.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/anleger-1870/
Anno 1905;Holstenplatz 17, 22765 Hamburg;Genießen Sie traditionelle hanseatische Kost, wie sie heute kaum noch zu finden ist.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/anno-1905/
Ashoka;Budapester Straße 25, 20359 Hamburg;Authentisch indische Speisen werden im Ashoka auf St. Pauli gereicht. Ohne Frage eines der besten indischen Restaurants der Hansestadt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/ashoka/
Bacana;Bellealliancestraße 52, 20259 Hamburg;Braunes Gold in allen Varianten;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/bacana/
Balutschi;Grindelallee 31, 20146 Hamburg;Mit gemütlichem Ambiente und leckerem indisch-pakistanischem Essen lädt das Balutschi zum Entspannen ein.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/balutschi/
Barcelona Tapas;Max-Brauer-Allee 12, 22765 Hamburg;Die Tapas-Bar Barcelona lädt zu Klassikern der spanischen Vorspeisenküche ein. In gemütlichem Ambiente, gegenüber vom Altonaer Rathaus.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/barcelona-tapas/
BEN;Mittelweg 26, 20148 Hamburg;Neben klassischen Thai-Currys für Liebhaber von Kokosmilch und Koriander, bietet das BEN im Mittelweg  mit seinen Monats-Specials auch Gerichte für alle, die mit der thailändischen Küche (noch) nicht vertraut sind. Die Schärfe ist bei allen Gerichten individuell wählbar. Außerdem beinhaltet die Karte ein exklusives Angebot an originellen Maki-Rollen, so dass auch Sushi-Fans bestens aufgehoben sind.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/ben/
Bistrot Vienna;Fettstraße 2, 20357 Hamburg;Das Bistrot Vienna besticht durch preiswerte Gourmet-Speisen. In der Hamburger Künstler-Szene wurde das Vienna lange als Geheimtipp gehandelt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/bistrot-vienna/
Blue Marlin;Graumannsweg 10, 22087 Hamburg;"Das elegante Restaurant verwöhnt mit hochwertig regionalen und internationalen Köstlichkeiten. Beliebter Treffpunkt in ungezwungener Atmosphäre ist der ""King George Pub"" und im Sommer die Terrasse ""Sunflower"".";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/blue-marlin/
Breitengrad;Gefionstrasse 3, 22769 Hamburg;Familie Silvaâs harmonisches Restaurant mit einem Hauch fernen Asiens liegt in einer grünen Parkanlage beim Musicaltheater Neuen Flora. Hier werden Spezialitäten aus Sri Lanka und Deutschland sowie vegetarische Gerichte serviert. Das Team des Breitengrad bedient Sie auch gerne im grünen Sommergarten sowie im beheizbaren Gartenpavillon.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/breitengrad/
Brodersen;Rothenbaumchaussee 46, 20148 Hamburg;Hamburger Klassiker und Bodenständiges aus dem norddeutschen Raum stehen in dem stilvoll eingerichteten Brodersen auf der Karte.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/brodersen/
Bullerei;Lagerstraße 34b, 20357 Hamburg;Erstklassige Steaks findet man in Tim Mälzers neuem Laden im Schanzenviertel. Das zugehörige Deli bietet internationale Klassiker zum kleinen Preis.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/bullerei/
Cafe Geyer;Hein-Köllisch-Platz 4, 20359 Hamburg;Gönnen Sie sich im Cafe Geyer bei Kaffee und Kuchen eine Auszeit vom Kiez-Trubel.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cafe-geyer/
Cafe Gnosa;Lange Reihe 93, 20099 Hamburg;Nette Gesellschaft in St. Georg;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cafe-gnosa/
Cafe Paris;Rathausstraße 4, 20095 Hamburg;Das Cafe Paris besticht mit Klassikern der französischen Küche in stilvollem Ambiente. Pariser Flair in der Hamburger Innenstadt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cafe-paris/
Casa Latina;Bahrenfelder Straße 82, 22765 Hamburg;Preiswertige, leckere Tapas werden am Abend in der Casa Latina serviert. Tagsüber kann man südländische Spezialitäten kaufen. Sehr beliebt unter Anwohnern.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/casa-latina/
Casa Ricardo;Rambachstraße 7, 20459 Hamburg;In der Casa Ricardo genießen Sie spanische Spezialitäten in landestypischem Ambiente. Ideal nach einem Spaziergang entlang der Landungsbrücken.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/casa-ricardo/
Casse-Croûte;Büschstraße 2, 20354 Hamburg;Das Casse-Croûte serviert französische Spezialitäten in der Hamburger Innenstadt. Wählen Sie aus einem wechselnden Tagesangebot und den Klassikern à  la carte.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/casse-croute/
Catch of the Day;Koreastraße 1, 20457 Hamburg;Nach einem Spaziergang durch die HafenCity können Sie sich im Catch of the Day mit frischen Spezialitäten des Meeres belohnen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/catch-of-the-day/
Central;Lange Reihe 50, 20099 Hamburg;Das Central bietet eine mediterrane Küche in stilvollem Ambiente. Hier wird besonderer Wert auf die Qualität der Speisen gelegt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/central/
Chilli Club;Am Sandtorkai 54, 20457 Hamburg;Im Herzen der HafenCity bietet Ihnen der Chilli Club Spezialitäten der modernen asiatischen Küche mit Blick auf die Elbe.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/chilli-club/
Cölln's Restaurant;Brodschrangen 1-5, 20457 Hamburg;Die einzige, älteste und bedeutendste im Originalzustand erhaltene Austernstube Deutschlands. Hier schlürften bereits Heinrich Heine, Otto von Bismarck oder auch Hans Albers ihre Austern.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/coelln-s-restaurant/
Comon;Kaiser-Wilhelm-Straße 89, 20355 Hamburg;Traditionelles Sushi wie es frischer kaum sein könnte. Das Comon ist ein kleines Stück Tokio im Herzen von Hamburg.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/comon/
Corfu Grill;Schiffbeker Weg 66, 22119 Hamburg;Mit einem ausgezeichneten Gyros in überdimensionalen Portionen lockt der Corfu Grill. Sehr beliebt unter Anwohnern.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/corfu-grill/
Cornelia Poletto;Eppendorfer Landstraße 80, 20249 Hamburg;Cornelia Polettos Gourmet-Küche im italienischen Gastronomia-Stil: Legeres Restaurant und exquisiter Feinkostladen in einem.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cornelia-poletto/
Cox;Greifswalder Straße 43, 20099 Hamburg;Genießen Sie regionale Gerichte modern interpretiert im charmanten Restaurant Cox. Idealerweise nach einem Besuch im Schauspielhaus oder der Staatsoper.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cox/
Cuneo;Davidstraße 11, 20359 Hamburg;Genießen Sie traditionelle italienische Küche im Familienbetrieb Cuneo in der Davidstraße. Eine Institution auf dem Kiez!;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cuneo/
Cuore Mio;Rothestraße 38, 22765 Hamburg;Italienischer Familienbetrieb im Herzen von Ottensen. Genießen Sie ein täglich wechselndes Angebot an frischen italienischen Spezialitäten.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cuore-mio/
CUP&CINO coffee House;Colonnaden 41, 20354 Hamburg;Genießen Sie direkt zwischen Casino Esplanade und Jungfernstieg Kaffee-, Tee- und Kuchenspezialitäten in gemütlichem und mediterranem Ambiente. Wählen Sie je nach tageszeit zwischen leckerem Frühstück, leichten Reisegerichten, würzigen Hamburgern, knackigen Salaten und italienischen Nudelvariationen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/cup-cino-coffee-house/
Curry Queen;Erikastraße 50, 20251 Hamburg;Die Curry Queen verpasst dem Imbiss-Klassiker seine endgültige Veredelung.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/curry-queen/
Currypapa;Mönckebergstraße 20, 20095 Hamburg;Gut gemachte Wurst in der City;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/currypapa/
Das Feuerschiff;Vorsetzen 2, 20459 Hamburg;"Das Feuerschiff ist ein altes englisches Feuerschiff, das zu einem ""Bar-Pub-Restaurant-Hotel-Veranstaltungs-Schiff"" umgebaut wurde. Und da es traditionell eng mit Meer und Wasser verbunden ist, bietet die Speisekarte rund ums Jahr neben internationalen Gerichten natürlich auch viel leckeren Fisch, der je nach Jahreszeit und Fangsaison frisch serviert wird.";http://www.hamburg-tourism.de/sehenswertes/historisches-hamburg/museumsschiffe/feuerschiff/
Das Kontor;Deichstraße 32, 20459 Hamburg;Hanseatisch, maritim in der Hamburger Altstadt gelegen, werden hier neben einem täglichen wechselnden Mittagstisch Fischspezialitäten und saisonale Spezialitäten wie Grünkohl und Martinsgans serviert.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/das-kontor/
Das Seepferdchen am Hafen;Grosse Elbstraße 212, 22767 Hamburg;Entdecken Sie das Flair der weiten Welt - in der ehemaligen Fischlagerhalle direkt an der Elbmeile zwischen Fischmarkt und à–velgönne kommen nur fang- und erntefrischen Zutaten auf den Tisch. Ein modernes Design mit Hummerpool-Bar und Boots-Lounge sowie im Sommer die Sonnen-Terrasse laden zum Genießen und zum Relaxen ein.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/das-seepferdchen-am-hafen/
Deichgraf;Deichstr. 23, 20459 Hamburg;"Alte Möbel, aber neue Tischdecken, historisches Interieur, aber quicklebendiger Service, traditioneller Labskaus, aber auch ""Schokoladen Birnen Cannelloni"": Was die Gäste im Deichgraf auch erwartet - es wird immer mit Leidenschaft serviert und es ist abwechslungsreich.";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/deichgraf/
Der Etrusker;Grindelhof 45, 20146 Hamburg;Traditionelles trifft Neueres in Luisa Alessandrinis italienischem Restaurant. Und bleibt dabei bodenständig. Unter Hamburgern seit langem ein Tipp.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/der-etrusker/
DIE BANK;Hohe Bleichen 17, 20354 Hamburg;Im ehemaligen Stadtpalais einer Hypothekenbank wird heute eine exquisite, leichte Kost gereicht.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/die-bank/
Dionysos;Eppendorfer Weg 67, 20259 Hamburg;Im Dionysos finden sie eine feine Melange aus den Köstlichkeiten Kretas und der modernen mediterranen Küche. Garantiert frisch.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/dionysos/
Dips 'n Stix;Spielbudenplatz 24-25, 20359 Hamburg;Kleine Happen und delikate Spieße bietet das Dips 'n Stix im Schmidt Theater. Ideal als Snack vor oder nach einer Theater-Vorstellung.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/dips-n-stix/
Doris Diner;Grindelhof 43, 20146 Hamburg;"Vom Langschläferfrühstück mit ""Ham and Eggs"" über Pancakes, Bagels, saftige Burger aller Variationen und cremige Milch-Shakes: Nirgends in Hamburg lässt es sich so gut durch die amerikanische Küche schlemmen wie im Doris Diner.";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/doris-diner/
East Restaurant;Simon-von-Utrecht-Straße 31, 20359 Hamburg;In einer eleganten und modernen Atmosphäre treffen im Restaurant des East Hotels asiatische und europäische Esskulturen aufeinander. Küchenchefs der Spitzenklasse lassen sich hier jeden Tag etwas neues und außergewöhnliches einfallen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/east-restaurant/
Eclair au Café;Klein Rainstraße 6, 22765 Hamburg;Süße Leckereien und herzliche Gastlichkeit;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/eclair-au-cafe/
Eisladen;Fischers Allee 39, 22763 Hamburg;Eis-Spezialitäten aus eigener Herstellung;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/eisladen/
El Tequito;St. Pauli-Fischmarkt 3, 20359 Hamburg;"Bereits seit bald 20 Jahren ist das ""El Tequito"" am St. Pauli Fischmarkt ansässig. Hier werden die ""Highlights"" der mexikanischen, US-amerikanischen und creolischen Küche zu unverwechselbaren Gerichten kreiert.";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/el-tequito-mexican-restaurant-bar/
Engel;Landeanlage Teufelsbrück, 22609 Hamburg;Im Engel wird der Hausmannskost ein feines französisches Gewand verpasst. Im Untergeschoss befindet sich der Gourmet-Imbiss Luzifer.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/engel/
Erikas Eck;Sternstraße 98, 20357 Hamburg;Der ehemalige Schlachter-Treff ist heute beliebte Anlaufstelle unter feierwütigen Hamburgern und genießt mittlerweile Kult-Status.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/erikas-eck/
ESSRAUM;Kurt-Schumacher-Allee 14, 20097 Hamburg;"Das à  la carte Restaurant im ""Jungen Hotel Hamburg"" verwöhnt mit einer frischen und kreativen Küche sowie Gerichte aus heimischen Gemüse- und Fleischsorten, welche der Küchenchef von Hamburger Großmärkten und Höfen aus dem Umland bezieht. Bei der Zubereitung werden ausschließlich Meersalz, Pfeffer und frische Kräuter verwendet.";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/essraum/
Fillet of Soul;Deichtorstrasse 2, 20095 Hamburg;Die Verbindung von Kunst und Kochen verspricht schon von sich aus Gutes.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/fillet-of-soul/
Fischclub;Blankeneser Landungsbrücken / Strandweg 30a, 22587 Hamburg;Frische Fluss- und Meerestiere direkt an der Elbe genießen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/fischclub/
Fischerhaus;St. Pauli Fischmarkt 14, 20359 Hamburg;Im Fischerhaus setzt man auf eine Hamburger Küche im alten Stil. Genießen Sie traditionelle Nordseefischgerichte am St. Pauli Fischmarkt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/fischerhaus/
Fischmarkt;Neustädter Neuer Weg/ Ditmar-Koel-Straße, 20459 Hamburg;Die Top-Adresse unter den Fischrestaurants. Hier kommen täglich frischer Fisch sowie seltene Fischkreationen wie z.B. Medaillons vom kanadischen Hummer auf den Tisch.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/fischmarkt/
Forsthaus Bergedorf;Reinbeker Weg 77, 21029 Hamburg;Nur 5 Minuten vom Bergedorfer Schloss entfernt lässt es sich in gemütlicher Atmosphäre, wechselnden Spezialitäten und Bratkartoffeln wie zu Großmutters Zeiten angenehm verweilen - im Sommer auch auf der großen Terrasse. Ebenfalls können Räume für Festlichkeiten und Tagungen gemietet werden.;http://www.hamburg-tourism.de/suchen-buchen/hotels-ab-24-eur/hotels-von-a-z/details/forsthaus-bergedorf/#tab=3
Freudenhaus;Hein-Hoyer-Straße 7-9, 20359 Hamburg;Sündige Speisen aus der deutschen Traditions-Küche.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/freudenhaus/
FuH;Fischers Allee 42, 22763 Hamburg;Das junge Küchenteam im FuH tüftelt täglich an neuen Kreationen und präsentiert wechselnde, hochwertige Gourmet-Menüs.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/fuh/
Genno's;Hammer Steindamm 123, 20535 Hamburg;Kleines Restaurant mit großartiger Küche;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/genno-s/
Haerlin;Neuer Jungfernstieg 9-14, 20354 Hamburg;Christoph Rüffer kredenzt im Haerlin eine klassische französische Gourmet-Küche und wurde dafür bereits mit zwei Sternen ausgezeichnet.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/haerlin/
Hard Rock Café Hamburg;Bei den St.-Pauli-Landungsbrücken 5, 20359 Hamburg;Rock-Souvenirs und amerikanisches Essen bietet das Hard Rock Café in Hamburg. Hier stärken Sie sich für einen Spaziergang an den Landungsbrücken.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/hard-rock-cafe-hamburg/
Hatari;Schanzenstraße 2, 20357 Hamburg;Burger, Flammkuchen und Spezialitäten aus der Pfalz gehen im Hatari in großen Mengen über den Tresen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/hatari/
Hate Harry;Stresemannstraße 1, 22769 Hamburg;Im Hate Harry genießen sie Pasta, Pizza und Fleisch in lockerem Ambiente unter jungen Leuten. Die perfekte Adresse nach einem Bummel durchs Schanzenviertel.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/hate-harry/
Henssler & Henssler;Große Elbstraße 160, 22767 Hamburg;Elegante Sushi-Spezialitäten mit internationalen Akzenten finden Sie im Familienbetrieb Henssler & Henssler.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/henssler-henssler/
Herzblut St. Pauli;Reeperbahn 50, 20359 Hamburg;"Auf über 300qm Fläche können sich Fans des guten Essens, des Feierns und Tanzens  des Genießens und des FC St. Paulis - also des Lebens - austoben.""";http://www.hamburg-tourism.de/erleben/nachtleben/alle-bars-clubs-co./herzblut/
Hummel & Guiddje;Bernstorffstraße 66, 22767 Hamburg;Das sympathische Hummel & Quiddje wird von einem Betreiberkollektiv aus der Nachbarschaft geführt und lockt mit seinem charmanten Old-School-Look.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/hummel-quiddje/
Jacobs Restaurant - Louis C. Jacob;Elbchaussee 401-403, 22609 Hamburg;Die Sterneküche im Hotel Louis C. Jacob zeichnet sich durch eine leichte und frische Linie sowie eine hervorragende Weinkarte aus.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/jacobs-restaurant-louis-c.-jacob/
Jimmy Elsass;Schäferstraße 26, 20357 Hamburg;Im Jimmy Elsass finden Sie garantiert den besten Flammkuchen in ganz Hamburg. Genießen Sie dazu einen der preiswerten und guten Weine.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/jimmy-elsass/
Juwelier;Weidenallee 27, 20357 Hamburg;Schmackhafte Speisen statt Gold und Silber;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/juwelier/
Kaffee- & Weinhaus Kleinhuis;Fehlandtstraße 26, 20354 Hamburg;Im Restaurant des Hotel Baseler Hof genießen Sie frische Küche aus regionalen Produkten, teilweise auch mit Kaffeearomen versetzt. In der Weinkarte mit über 40 offenen Weinen finden Sie eine große Auswahl an Spitzenweinen. Nachmittags verlocken Kaffeespezialitäten, Kaffee und Torten.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kaffee-weinhaus-kleinhuis/
Kiez Curry;Querstraße 2, 20359 Hamburg;Der Name ist Programm. Beim Kiez Curry werden Feierwütige vor oder nach dem Ausgehen auf der Reeperbahn mit dem Imbiss-Klassiker versorgt.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kiez-curry/
Kimzen;Schulterblatt 58a, 20357 Hamburg;Leichte koreanische Köstlichkeiten direkt auf dem Schulterblatt. Ein Familienbetrieb mit unverwechselbar freundlichem Service.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kimzen/
Kleine Pause;Wohlwillstrasse 37, 20359 Hamburg;Die Kleine Pause ist so etwas wie eine Institution zwischen Reeperbahn und Schulterblatt. Die perfekte Stärkung vor oder nach dem Ausgehen.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kleine-pause/
Kobe;Schmilinskystraße 19, 20099 Hamburg;"Entdecken Sie im Kobe außergewöhnliche Steaks vom ""Wagyu-Rind"". Hochpreisig aber jeden Cent wert.";http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kobe/
Kombüse;Bernhard-Nocht-Straße 51, 20359 Hamburg;Die Kombüse ist stets gefüllt mit jungen Leuten. Mexikanische Klassiker gibt es hier zum kleinen Preis und in lockerer Stimmung.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kombuese/
Kouros;An der Alster 25, 20099 Hamburg;Eine Alternative zu der Taverne von nebenan;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kouros/
Köz Urfa;Paul-Nevermann-Platz 2-4, 22765 Hamburg;Deftiges aus Anatolien bietet das Köz Urfa. Hier stärken Sie sich am besten für einen Spaziergang durch Altona.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/koez-urfa/
Küchenwerkstatt;Hans-Henny-Jahnn-Weg 1, 22085 Hamburg;Exquisite handgemachte Speisen im Mühlenkamper Fährhaus, dem ehemaligen Stammlokal diverser Promis und Politiker.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kuechenwerkstatt/
Kuchnia;Talstraße 87, 20359 Hamburg;Im Kuchnia hat sich ein junges Team der traditionellen osteuropäischen Küche gewidmet. Originell und überraschend gut!;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/kuchnia/
L'Auberge;Rutschbahn 34, 20146 Hamburg;Im L'Auberge genießen Sie Speisen aus der Provence in traditioneller Atmosphäre. Seit 30 Jahren unverändert gut.;http://www.hamburg-tourism.de/erleben/essen-trinken/alle-restaurants-im-blick/l-auberge/
